# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  391      1.95500000     51.72443600    148.04352300
  392      1.96000000     50.97880300    146.96036100
  393      1.96500000     50.25483300    145.87719800
  394      1.97000000     49.53086200    144.79403600
  395      1.97500000     48.80689200    143.71087300
  396      1.98000000     48.08292200    142.62771100
  397      1.98500000     47.38061500    141.54454900
  398      1.99000000     46.67830800    140.46138700
  399      1.99500000     45.97600200    139.37822400
  400      2.00000000     45.27369500    138.29506200
  401      2.00500000     44.59305100    137.21190000
  402      2.01000000     43.91240700    136.12873700
  403      2.01500000     43.23176400    135.04557400
  404      2.02000000     42.55112000    133.96241200
  405      2.02500000     41.89214000    132.87925000
  406      2.03000000     41.23315900    131.79608700
  407      2.03500000     40.57417800    130.71292400
  408      2.04000000     39.91519800    129.62976200
  409      2.04500000     39.27788100    128.54660000
  410      2.05000000     38.64056400    127.46343700
  411      2.05500000     38.00324700    126.38027400
  412      2.06000000     37.36593000    125.29711200
  413      2.06500000     36.75027600    124.21395000
  414      2.07000000     36.13462200    123.13078700
  415      2.07500000     35.51896800    122.04762400
  416      2.08000000     34.90331400    120.96446200
  417      2.08500000     34.30932300    119.88130000
  418      2.09000000     33.71533300    118.79813700
  419      2.09500000     33.12134200    117.71497400
  420      2.10000000     32.52735100    116.63181200
  421      2.10500000     31.95502400    115.54865000
  422      2.11000000     31.38269600    114.46548700
  423      2.11500000     30.81036800    113.38232400
  424      2.12000000     30.23804100    112.29916200
  425      2.12500000     29.68737700    111.21600000
  426      2.13000000     29.13671300    110.13283800
  427      2.13500000     28.58604900    109.04967500
  428      2.14000000     28.03538500    107.96651300
  429      2.14500000     27.50638400    106.88335100
  430      2.15000000     26.97738300    105.80018800
  431      2.15500000     26.44838200    104.71702500
  432      2.16000000     25.91938100    103.63386300
  433      2.16500000     25.41204300    102.55070100
  434      2.17000000     24.90470600    101.46753800
  435      2.17500000     24.39736800    100.38437500
  436      2.18000000     23.89003000     99.30121300
  437      2.18500000     23.40435600     98.21805100
  438      2.19000000     22.91868100     97.13488800
  439      2.19500000     22.43300700     96.05172600
  440      2.20000000     21.94733200     94.96856300
  441      2.20500000     21.48332100     93.88540100
  442      2.21000000     21.01931000     92.80223800
  443      2.21500000     20.55529900     91.71907600
  444      2.22000000     20.09128800     90.63591300
  445      2.22500000     19.64894000     89.55275100
  446      2.23000000     19.20659200     88.46958800
  447      2.23500000     18.76424400     87.38642600
  448      2.24000000     18.32189600     86.30326300
  449      2.24500000     17.90121100     85.22010100
  450      2.25000000     17.48052600     84.13693800
  451      2.25500000     17.05984200     83.05377600
  452      2.26000000     16.63915700     81.97061400
  453      2.26500000     16.24013500     80.88745100
  454      2.27000000     15.84111400     79.80428900
  455      2.27500000     15.44209200     78.72112600
  456      2.28000000     15.04307100     77.63796400
  457      2.28500000     14.66571300     76.55480100
  458      2.29000000     14.28835400     75.47163900
  459      2.29500000     13.91099600     74.38847600
  460      2.30000000     13.53363800     73.30531400
  461      2.30500000     13.17794300     72.22215100
  462      2.31000000     12.82224800     71.13898900
  463      2.31500000     12.46655400     70.05582600
  464      2.32000000     12.11085900     68.97266400
  465      2.32500000     11.77682700     67.88950100
  466      2.33000000     11.44279500     66.80633900
  467      2.33500000     11.10876400     65.72317600
  468      2.34000000     10.77473200     64.64001400
  469      2.34500000     10.46236300     63.55685100
  470      2.35000000     10.14999500     62.47368900
  471      2.35500000      9.83762600     61.39052600
  472      2.36000000      9.52525800     60.30736400
  473      2.36500000      9.23455300     59.22420200
  474      2.37000000      8.94384700     58.14103900
  475      2.37500000      8.65314200     57.05787700
  476      2.38000000      8.36243700     55.97471500
  477      2.38500000      8.09339500     54.89155200
  478      2.39000000      7.82435300     53.80839000
  479      2.39500000      7.55531200     52.72522700
  480      2.40000000      7.28627000     51.64206500
  481      2.40500000      7.03889100     50.55890200
  482      2.41000000      6.79151200     49.47574000
  483      2.41500000      6.54413400     48.39257700
  484      2.42000000      6.29675500     47.30941500
  485      2.42500000      6.07260900     46.06924600
  486      2.43000000      5.84846400     44.82907700
  487      2.43500000      5.62431800     43.58890800
  488      2.44000000      5.40017300     42.34873900
  489      2.44500000      5.20084600     41.10706000
  490      2.45000000      5.00151900     39.86538100
  491      2.45500000      4.80219300     38.62370200
  492      2.46000000      4.60286600     37.38202300
  493      2.46500000      4.42759700     36.21789700
  494      2.47000000      4.25232800     35.05377100
  495      2.47500000      4.07705900     33.88964600
  496      2.48000000      3.90179000     32.72552000
  497      2.48500000      3.74875100     31.66662800
  498      2.49000000      3.59571200     30.60773500
  499      2.49500000      3.44267400     29.54884200
  500      2.50000000      3.28963500     28.48995000
  501      2.50500000      3.15671100     27.53743200
  502      2.51000000      3.02378600     26.58491300
  503      2.51500000      2.89086100     25.63239500
  504      2.52000000      2.75793700     24.67987700
  505      2.52500000      2.64305800     23.82783200
  506      2.53000000      2.52817900     22.97578600
  507      2.53500000      2.41330000     22.12374100
  508      2.54000000      2.29842100     21.27169600
  509      2.54500000      2.19964900     20.51310500
  510      2.55000000      2.10087600     19.75451300
  511      2.55500000      2.00210300     18.99592200
  512      2.56000000      1.90333100     18.23733100
  513      2.56500000      1.81887100     17.56463500
  514      2.57000000      1.73441200     16.89193900
  515      2.57500000      1.64995200     16.21924200
  516      2.58000000      1.56549200     15.54654600
  517      2.58500000      1.49370500     14.95201900
  518      2.59000000      1.42191800     14.35749200
  519      2.59500000      1.35013000     13.76296400
  520      2.60000000      1.27834300     13.16843700
  521      2.60500000      1.21774000     12.64455500
  522      2.61000000      1.15713600     12.12067300
  523      2.61500000      1.09653200     11.59679000
  524      2.62000000      1.03592900     11.07290800
  525      2.62500000      0.98516700     10.61263500
  526      2.63000000      0.93440600     10.15236300
  527      2.63500000      0.88364400      9.69209000
  528      2.64000000      0.83288200      9.23181700
  529      2.64500000      0.79075400      8.82868400
  530      2.65000000      0.74862700      8.42555000
  531      2.65500000      0.70649900      8.02241600
  532      2.66000000      0.66437100      7.61928300
  533      2.66500000      0.62979400      7.26737700
  534      2.67000000      0.59521600      6.91547000
  535      2.67500000      0.56063800      6.56356300
  536      2.68000000      0.52606100      6.21165700
  537      2.68500000      0.49806300      5.90561600
  538      2.69000000      0.47006600      5.59957500
  539      2.69500000      0.44206800      5.29353300
  540      2.70000000      0.41407000      4.98749200
  541      2.70500000      0.39178300      4.72249300
  542      2.71000000      0.36949500      4.45749400
  543      2.71500000      0.34720800      4.19249400
  544      2.72000000      0.32492000      3.92749500
  545      2.72500000      0.30756500      3.69923700
  546      2.73000000      0.29021100      3.47097800
  547      2.73500000      0.27285600      3.24272000
  548      2.74000000      0.25550100      3.01446100
  549      2.74500000      0.24238200      2.81912500
  550      2.75000000      0.22926300      2.62378800
  551      2.75500000      0.21614400      2.42845200
  552      2.76000000      0.20302500      2.23311600
  553      2.76500000      0.19351700      2.06731900
  554      2.77000000      0.18400900      1.90152200
  555      2.77500000      0.17450200      1.73572600
  556      2.78000000      0.16499400      1.56992900
  557      2.78500000      0.15853700      1.43067700
  558      2.79000000      0.15208000      1.29142600
  559      2.79500000      0.14562300      1.15217400
  560      2.80000000      0.13916600      1.01292300
  561      2.80500000      0.13525500      0.89756300
  562      2.81000000      0.13134400      0.78220300
  563      2.81500000      0.12743300      0.66684400
  564      2.82000000      0.12352200      0.55148400
  565      2.82500000      0.12170300      0.45765500
  566      2.83000000      0.11988300      0.36382600
  567      2.83500000      0.11806400      0.26999800
  568      2.84000000      0.11624500      0.17616900
  569      2.84500000      0.11610800      0.10174900
  570      2.85000000      0.11597200      0.02732800
  571      2.85500000      0.11583500     -0.04709200
  572      2.86000000      0.11569900     -0.12151200
  573      2.86500000      0.11687600     -0.17846100
  574      2.87000000      0.11805300     -0.23541000
  575      2.87500000      0.11923000     -0.29235900
  576      2.88000000      0.12040700     -0.34930800
  577      2.88500000      0.12256600     -0.39059400
  578      2.89000000      0.12472600     -0.43187900
  579      2.89500000      0.12688500     -0.47316500
  580      2.90000000      0.12904400     -0.51445000
  581      2.90500000      0.13189000     -0.54180400
  582      2.91000000      0.13473600     -0.56915700
  583      2.91500000      0.13758200     -0.59651100
  584      2.92000000      0.14042800     -0.62386400
  585      2.92500000      0.14369900     -0.63898200
  586      2.93000000      0.14696900     -0.65410000
  587      2.93500000      0.15024000     -0.66921800
  588      2.94000000      0.15351000     -0.68433600
  589      2.94500000      0.15697700     -0.68888600
  590      2.95000000      0.16044400     -0.69343700
  591      2.95500000      0.16391100     -0.69798700
  592      2.96000000      0.16737800     -0.70253700
  593      2.96500000      0.17084700     -0.69815000
  594      2.97000000      0.17431600     -0.69376300
  595      2.97500000      0.17778500     -0.68937600
  596      2.98000000      0.18125400     -0.68498900
  597      2.98500000      0.18456100     -0.67325100
  598      2.99000000      0.18786900     -0.66151300
  599      2.99500000      0.19117700     -0.64977600
  600      3.00000000      0.19448400     -0.63803800
  601      3.00500000      0.19749800     -0.62048300
  602      3.01000000      0.20051300     -0.60292800
  603      3.01500000      0.20352800     -0.58537300
  604      3.02000000      0.20654200     -0.56781800
  605      3.02500000      0.20916200     -0.54591500
  606      3.03000000      0.21178300     -0.52401100
  607      3.03500000      0.21440300     -0.50210700
  608      3.04000000      0.21702300     -0.48020400
  609      3.04500000      0.21917500     -0.45533400
  610      3.05000000      0.22132800     -0.43046300
  611      3.05500000      0.22348000     -0.40559300
  612      3.06000000      0.22563200     -0.38072300
  613      3.06500000      0.22727000     -0.35415300
  614      3.07000000      0.22890800     -0.32758300
  615      3.07500000      0.23054600     -0.30101400
  616      3.08000000      0.23218400     -0.27444400
  617      3.08500000      0.23328500     -0.24730200
  618      3.09000000      0.23438500     -0.22015900
  619      3.09500000      0.23548600     -0.19301600
  620      3.10000000      0.23658700     -0.16587400
  621      3.10500000      0.23714900     -0.13911900
  622      3.11000000      0.23771000     -0.11236400
  623      3.11500000      0.23827200     -0.08560800
  624      3.12000000      0.23883400     -0.05885300
  625      3.12500000      0.23887200     -0.03325900
  626      3.13000000      0.23891000     -0.00766600
  627      3.13500000      0.23894900      0.01792800
  628      3.14000000      0.23898700      0.04352200
  629      3.14500000      0.23853100      0.06736100
  630      3.15000000      0.23807500      0.09119900
  631      3.15500000      0.23761900      0.11503800
  632      3.16000000      0.23716300      0.13887700
  633      3.16500000      0.23625200      0.16053600
  634      3.17000000      0.23534100      0.18219600
  635      3.17500000      0.23443000      0.20385600
  636      3.18000000      0.23351900      0.22551500
  637      3.18500000      0.23220000      0.24472800
  638      3.19000000      0.23088000      0.26394200
  639      3.19500000      0.22956000      0.28315600
  640      3.20000000      0.22824100      0.30236900
  641      3.20500000      0.22656300      0.31901300
  642      3.21000000      0.22488400      0.33565700
  643      3.21500000      0.22320600      0.35230100
  644      3.22000000      0.22152700      0.36894500
  645      3.22500000      0.21954200      0.38302400
  646      3.23000000      0.21755600      0.39710300
  647      3.23500000      0.21557100      0.41118200
  648      3.24000000      0.21358500      0.42526100
  649      3.24500000      0.21134200      0.43688300
  650      3.25000000      0.20910000      0.44850400
  651      3.25500000      0.20685700      0.46012600
  652      3.26000000      0.20461500      0.47174800
  653      3.26500000      0.20216300      0.48109400
  654      3.27000000      0.19971000      0.49044000
  655      3.27500000      0.19725800      0.49978600
  656      3.28000000      0.19480600      0.50913200
  657      3.28500000      0.19218700      0.51642900
  658      3.29000000      0.18956900      0.52372600
