# Header information on force file

1_1
N 2000  R        0.012511       25.022000
  152      1.90167200     64.96638700    593.71421000
  153      1.91418300     63.58435900    581.07449400
  154      1.92669400     62.20233100    568.43477900
  155      1.93920500     60.82030300    555.79506300
  156      1.95171600     59.43827400    543.15534700
  157      1.96422700     58.05624600    530.51563200
  158      1.97673800     56.67421800    517.87591600
  159      1.98924900     55.29219000    505.23620000
  160      2.00176000     53.91016200    492.59648500
  161      2.01427100     52.52813300    479.95676900
  162      2.02678200     51.14610500    467.31705300
  163      2.03929300     49.76407700    454.67733800
  164      2.05180400     48.38204900    442.03762200
  165      2.06431500     47.00002000    429.39790600
  166      2.07682600     45.61799200    416.75819100
  167      2.08933700     44.23596400    404.11847500
  168      2.10184800     42.85393600    391.47875900
  169      2.11435900     41.47190700    378.83904400
  170      2.12687000     40.08987900    366.19932800
  171      2.13938100     38.70785100    353.55961200
  172      2.15189200     37.32582300    340.91989700
  173      2.16440300     35.94379400    328.28018100
  174      2.17691400     34.56176600    315.64046500
  175      2.18942500     33.17973800    303.00075000
  176      2.20193600     31.79771000    290.36103400
  177      2.21444700     30.41568100    277.72131800
  178      2.22695800     29.03365300    265.08160300
  179      2.23946900     27.65162500    252.44188700
  180      2.25198000     26.26959700    239.80217100
  181      2.26449100     24.88756800    227.16245600
  182      2.27700200     23.50554000    214.52274000
  183      2.28951300     22.12351200    201.88302400
  184      2.30202400     20.74148400    189.24330900
  185      2.31453500     19.35945500    176.60359300
  186      2.32704600     17.97742700    163.96387700
  187      2.33955700     16.59539900    151.32416200
  188      2.35206800     15.21337100    138.68444600
  189      2.36457900     13.83134300    126.04473000
  190      2.37709000     12.44931400    113.40501500
  191      2.38960100     11.06728600    100.76529900
  192      2.40211200      9.69935000     88.26839900
  193      2.41462300      8.40080400     76.47468800
  194      2.42713400      7.36755700     67.98048900
  195      2.43964500      6.53427000     61.97318000
  196      2.45215600      5.81209800     56.52801600
  197      2.46466700      5.13156200     51.31044100
  198      2.47717800      4.51555000     46.44778900
  199      2.48968900      3.97064200     42.00633300
  200      2.50220000      3.46072900     37.77789000
  201      2.51471100      3.01776900     33.97283200
  202      2.52722200      2.61598300     30.44339800
  203      2.53973300      2.24434900     27.11581400
  204      2.55224400      1.93357100     24.21586600
  205      2.56475500      1.64459500     21.47499300
  206      2.57726600      1.38901600     18.97838200
  207      2.58977700      1.16971900     16.75564200
  208      2.60228800      0.96785400     14.66583700
  209      2.61479900      0.79854400     12.82781100
  210      2.62731000      0.64914300     11.14686100
  211      2.63982100      0.51390600      9.57767100
  212      2.65233200      0.40729800      8.23904000
  213      2.66484300      0.31065500      6.98250000
  214      2.67735400      0.22913400      5.85063800
  215      2.68986500      0.16406700      4.85832900
  216      2.70237600      0.10674800      3.93273100
  217      2.71488700      0.06365000      3.13202500
  218      2.72739800      0.02922600      2.41088800
  219      2.73990900      0.00079700      1.74474500
  220      2.75242000     -0.01557500      1.19548500
  221      2.76493100     -0.02794300      0.68778700
  222      2.77744200     -0.03429200      0.24266200
  223      2.78995300     -0.03428000     -0.13025900
  224      2.80246400     -0.03139500     -0.46891400
  225      2.81497500     -0.02345900     -0.74351300
  226      2.82748600     -0.01265500     -0.97630100
  227      2.83999700      0.00007400     -1.18102400
  228      2.85250800      0.01628900     -1.32499900
  229      2.86501900      0.03345000     -1.44797300
  230      2.87753000      0.05202200     -1.53961800
  231      2.89004100      0.07170800     -1.59553600
  232      2.90255200      0.09178400     -1.63504800
  233      2.91506300      0.11231300     -1.64483400
  234      2.92757400      0.13277400     -1.63598300
  235      2.94008500      0.15318600     -1.61481700
  236      2.95259600      0.17293500     -1.56900300
  237      2.96510700      0.19223000     -1.51525900
  238      2.97761800      0.21086800     -1.45001900
