Particle 198: Vec3(x=2.8466866506958235, y=1.6460029400931526, z=1.7523722512218334) nm
Particle 199: Vec3(x=2.861188932638697, y=1.5869906194945873, z=1.831790323057183) nm
Particle 200: Vec3(x=2.8459619822209272, y=1.741634962257901, z=1.7815953840160053) nm
Particle 201: Vec3(x=3.20711741140781, y=1.8353303272110644, z=2.187943952438224) nm
Particle 202: Vec3(x=3.276494048716278, y=1.835995336531128, z=2.1159270082070454) nm
Particle 203: Vec3(x=3.1164758313083794, y=1.8457241563732645, z=2.1470040871422955) nm
Particle 204: Vec3(x=-0.11838922846444322, y=1.9187568598280482, z=2.4361386486505965) nm
Particle 205: Vec3(x=-0.19188691913567432, y=1.9856028278765647, z=2.4247497804155187) nm
Particle 206: Vec3(x=-0.10261785095479836, y=1.8714653288394731, z=2.3494508464738884) nm
Particle 207: Vec3(x=2.9040551290859753, y=1.8552304293070516, z=2.9672091155496028) nm
Particle 208: Vec3(x=2.838479261426098, y=1.782266613596089, z=2.94781614064697) nm
Particle 209: Vec3(x=2.9426514985840284, y=1.889037712186145, z=2.881375624510697) nm
Particle 210: Vec3(x=-0.20668871830760266, y=1.9792182158555198, z=3.156259811128538) nm
Particle 211: Vec3(x=-0.20897241119483712, y=1.8799727606653203, z=3.1442130410672267) nm
Particle 212: Vec3(x=-0.21911003341146676, y=2.023846162419114, z=3.067636689909351) nm
Particle 213: Vec3(x=-0.17834196674571226, y=2.105737565733503, z=0.40531311608395876) nm
Particle 214: Vec3(x=-0.22679149290586303, y=2.1467642860514613, z=0.328050887713091) nm
Particle 215: Vec3(x=-0.12205525243275174, y=2.1752325441750235, z=0.45005966970864575) nm
Particle 216: Vec3(x=-0.06638484709161283, y=2.143563660140754, z=0.8148075295466977) nm
Particle 217: Vec3(x=-0.13419496861922586, y=2.088149043979941, z=0.766527015545878) nm
Particle 218: Vec3(x=-0.10683637219561462, y=2.231582626040792, z=0.8396336459701635) nm
Particle 219: Vec3(x=-0.021973033947712217, y=2.021289018781772, z=1.0595298926722194) nm
Particle 220: Vec3(x=-0.041304134081092445, y=2.064384280674673, z=0.9713873531805599) nm
Particle 221: Vec3(x=0.0704459612926265, y=1.9831121094123214, z=1.0584104250370379) nm
Particle 222: Vec3(x=-0.05530561104532775, y=2.211270409014394, z=1.256262745759285) nm
Particle 223: Vec3(x=-0.044900024326538474, y=2.181472634077354, z=1.3511511890591015) nm
Particle 224: Vec3(x=-0.048761265525267224, y=2.1320798653643505, z=1.195550064743308) nm
Particle 225: Vec3(x=2.9200433358879407, y=2.0874065766803547, z=1.6366792821659262) nm
Particle 226: Vec3(x=2.9964842864664485, y=2.147655431090049, z=1.6596326460805422) nm
Particle 227: Vec3(x=2.9089506197687345, y=2.0839979551294965, z=1.5373548982199639) nm
Particle 228: Vec3(x=2.865757568708413, y=1.905554095137936, z=1.8236690194084013) nm
Particle 229: Vec3(x=2.9320743541124, y=1.8936875141963998, z=1.8975694154050582) nm
Particle 230: Vec3(x=2.9043382266840383, y=1.9655429965504398, z=1.7535771879619915) nm
Particle 231: Vec3(x=0.009784383669617014, y=2.084887005799275, z=2.0967132642205666) nm
Particle 232: Vec3(x=0.09945301144771794, y=2.085530744896584, z=2.0524512817707232) nm
Particle 233: Vec3(x=0.021507129633095475, y=2.0907328991108294, z=2.195851566891577) nm
Particle 234: Vec3(x=-0.299341825267177, y=2.1201099151505667, z=2.3988831037088483) nm
Particle 235: Vec3(x=-0.39341620677426625, y=2.1240627948299085, z=2.365202459648461) nm
Particle 236: Vec3(x=-0.24590373555604908, y=2.1936514205084787, z=2.357217556121653) nm
Particle 237: Vec3(x=3.0042276700597634, y=1.9518876308476942, z=2.742738771615336) nm
Particle 238: Vec3(x=3.0528108178953843, y=1.9519460671703879, z=2.6553335393371618) nm
Particle 239: Vec3(x=2.9785150196606702, y=2.0455221424105945, z=2.766643544190166) nm
Particle 240: Vec3(x=-0.2712754645035782, y=2.2120250521160147, z=0.1580458749540187) nm
Particle 241: Vec3(x=-0.31146728321855677, y=2.3032639625455915, z=0.1502947956724464) nm
Particle 242: Vec3(x=-0.28644481912011704, y=2.1615892374901193, z=0.0730392894352295) nm
Particle 243: Vec3(x=2.920215185869806, y=2.214465751296058, z=0.28233856102875415) nm
Particle 244: Vec3(x=2.8316620263139596, y=2.2499724925437175, z=0.31229869381670683) nm
Particle 245: Vec3(x=2.919625541780088, y=2.2029365463932438, z=0.18300714579580973) nm
Particle 246: Vec3(x=-0.2211804672051263, y=2.4153109816470937, z=0.4235955218886872) nm
Particle 247: Vec3(x=-0.29926371326044776, y=2.4640709625373036, z=0.3845382402747077) nm
Particle 248: Vec3(x=-0.13625576693559688, y=2.457110359879872, z=0.39133707242956167) nm
Particle 249: Vec3(x=-0.09924250782654316, y=2.416675753461981, z=0.868416772958253) nm
Particle 250: Vec3(x=0.00029433883669502376, y=2.413349931903586, z=0.8774364938698973) nm
Particle 251: Vec3(x=-0.13435293177522295, y=2.497281953304838, z=0.9160602297499322) nm
Particle 252: Vec3(x=2.853976470308319, y=2.278690309366787, z=1.119986370990688) nm
Particle 253: Vec3(x=2.9412502438241996, y=2.3271024907745073, z=1.1136975359898382) nm
Particle 254: Vec3(x=2.835843144816516, y=2.231334479078968, z=1.033796997269893) nm
Particle 255: Vec3(x=0.023339906421977225, y=2.5404850219374446, z=1.4320049680488407) nm
Particle 256: Vec3(x=0.00968265717267324, y=2.4901141213070463, z=1.5173059188679736) nm
Particle 257: Vec3(x=0.07179938027183552, y=2.482542886202216, z=1.366473383307905) nm
Particle 258: Vec3(x=-0.058564139711754205, y=2.338886829951174, z=2.0326713517543875) nm
Particle 259: Vec3(x=-0.08183892356735174, y=2.345201683840463, z=1.9356228723492193) nm
Particle 260: Vec3(x=-0.037247180336715716, y=2.243944415831945, z=2.055726189473161) nm
Particle 261: Vec3(x=-0.15789525198731444, y=2.3216429263041927, z=2.2911130961187576) nm
Particle 262: Vec3(x=-0.13278002931293162, y=2.3395134316134993, z=2.19598228655619) nm
