# Header information on force file

1_1
N 2000  R        0.007500       15.000000
  389      2.91750000      0.13900500     -0.61018700
  390      2.92500000      0.14369800     -0.63898200
  391      2.93250000      0.14860400     -0.66165900
  392      2.94000000      0.15351000     -0.68433600
  393      2.94750000      0.15871000     -0.69116100
  394      2.95500000      0.16391100     -0.69798700
  395      2.96250000      0.16911200     -0.70034400
  396      2.97000000      0.17431600     -0.69376300
  397      2.97750000      0.17952000     -0.68718200
  398      2.98500000      0.18456100     -0.67325100
  399      2.99250000      0.18952300     -0.65564500
  400      3.00000000      0.19448400     -0.63803800
  401      3.00750000      0.19900600     -0.61170600
  402      3.01500000      0.20352700     -0.58537300
  403      3.02250000      0.20785200     -0.55686600
  404      3.03000000      0.21178200     -0.52401100
  405      3.03750000      0.21571300     -0.49115600
  406      3.04500000      0.21917500     -0.45533400
  407      3.05250000      0.22240400     -0.41802800
  408      3.06000000      0.22563200     -0.38072300
  409      3.06750000      0.22808900     -0.34086800
  410      3.07500000      0.23054600     -0.30101400
  411      3.08250000      0.23273400     -0.26087300
  412      3.09000000      0.23438500     -0.22015900
  413      3.09750000      0.23603700     -0.17944500
  414      3.10500000      0.23714900     -0.13911900
  415      3.11250000      0.23799100     -0.09898600
  416      3.12000000      0.23883400     -0.05885300
  417      3.12750000      0.23889100     -0.02046200
  418      3.13500000      0.23894900      0.01792800
  419      3.14250000      0.23875900      0.05544100
  420      3.15000000      0.23807500      0.09119900
  421      3.15750000      0.23739100      0.12695800
  422      3.16500000      0.23625200      0.16053600
  423      3.17250000      0.23488600      0.19302600
  424      3.18000000      0.23351900      0.22551500
  425      3.18750000      0.23154000      0.25433500
  426      3.19500000      0.22956100      0.28315500
  427      3.20250000      0.22740200      0.31069100
  428      3.21000000      0.22488400      0.33565700
  429      3.21750000      0.22236600      0.36062300
  430      3.22500000      0.21954200      0.38302400
  431      3.23250000      0.21656300      0.40414200
  432      3.24000000      0.21358500      0.42526100
  433      3.24750000      0.21022100      0.44269400
  434      3.25500000      0.20685700      0.46012600
  435      3.26250000      0.20338900      0.47642100
  436      3.27000000      0.19971000      0.49044000
  437      3.27750000      0.19603200      0.50445900
  438      3.28500000      0.19218800      0.51642900
  439      3.29250000      0.18826000      0.52737400
  440      3.30000000      0.18433200      0.53831900
  441      3.30750000      0.18021200      0.54655500
  442      3.31500000      0.17609200      0.55479100
  443      3.32250000      0.17192600      0.56224200
  444      3.33000000      0.16766400      0.56812400
  445      3.33750000      0.16340300      0.57400600
  446      3.34500000      0.15907800      0.57853900
  447      3.35250000      0.15471900      0.58239800
  448      3.36000000      0.15036100      0.58625700
  449      3.36750000      0.14594300      0.58839700
  450      3.37500000      0.14152400      0.59053700
  451      3.38250000      0.13709700      0.59219500
  452      3.39000000      0.13265000      0.59288700
  453      3.39750000      0.12820300      0.59357900
  454      3.40500000      0.12375600      0.59346200
  455      3.41250000      0.11930700      0.59294100
  456      3.42000000      0.11485900      0.59241900
  457      3.42750000      0.11043100      0.59087800
  458      3.43500000      0.10600400      0.58933600
  459      3.44250000      0.10158900      0.58750900
  460      3.45000000      0.09720100      0.58510900
  461      3.45750000      0.09281300      0.58270900
  462      3.46500000      0.08846100      0.57982600
  463      3.47250000      0.08412800      0.57670200
  464      3.48000000      0.07979500      0.57357800
  465      3.48750000      0.07553100      0.56984400
  466      3.49500000      0.07126600      0.56611000
  467      3.50250000      0.06702800      0.56220800
  468      3.51000000      0.06284300      0.55796900
  469      3.51750000      0.05865800      0.55373000
  470      3.52500000      0.05453300      0.54921900
  471      3.53250000      0.05043700      0.54457300
  472      3.54000000      0.04634100      0.53992600
  473      3.54750000      0.04234100      0.53496500
  474      3.55500000      0.03834200      0.53000400
  475      3.56250000      0.03437600      0.52496700
  476      3.57000000      0.03047700      0.51977800
  477      3.57750000      0.02657900      0.51459000
  478      3.58500000      0.02275000      0.50930200
  479      3.59250000      0.01895700      0.50396600
  480      3.60000000      0.01516400      0.49862900
  481      3.60750000      0.01147900      0.49321600
  482      3.61500000      0.00779300      0.48780200
  483      3.62250000      0.00414400      0.48238300
  484      3.63000000      0.00056700      0.47695400
  485      3.63750000     -0.00301100      0.47152400
  486      3.64500000     -0.00651500      0.46611500
  487      3.65250000     -0.00998400      0.46071500
  488      3.66000000     -0.01345300      0.45531600
  489      3.66750000     -0.01681400      0.44997500
  490      3.67500000     -0.02017600      0.44463400
