LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

233 1 1 0.000000 7.614799 3.203315 6.780203 #  UNK
234 1 1 0.000000 18.775377 22.759161 3.064785 #  UNK
235 1 1 0.000000 8.738207 20.884382 16.031157 #  UNK
236 1 1 0.000000 1.645817 4.462096 24.209034 #  UNK
237 1 1 0.000000 18.121767 16.335077 4.511219 #  UNK
238 1 1 0.000000 25.064188 2.019083 13.571461 #  UNK
239 1 1 0.000000 20.183140 24.530872 6.917379 #  UNK
240 1 1 0.000000 3.843942 23.617399 6.291110 #  UNK
241 1 1 0.000000 15.576423 7.714573 1.562097 #  UNK
242 1 1 0.000000 1.790509 17.593555 11.823456 #  UNK
243 1 1 0.000000 8.017066 23.667583 16.251604 #  UNK
244 1 1 0.000000 2.606854 21.098473 1.785246 #  UNK
245 1 1 0.000000 3.198001 3.397003 17.566034 #  UNK
246 1 1 0.000000 9.373370 12.133550 13.440228 #  UNK
247 1 1 0.000000 8.638790 1.214134 16.294395 #  UNK
248 1 1 0.000000 15.473794 6.863750 18.718250 #  UNK
249 1 1 0.000000 19.205006 19.929529 23.808422 #  UNK
250 1 1 0.000000 10.411394 5.103798 19.566883 #  UNK
251 1 1 0.000000 3.777265 22.452679 21.357346 #  UNK
252 1 1 0.000000 23.726027 21.129766 11.443411 #  UNK
253 1 1 0.000000 7.136291 19.830456 3.081089 #  UNK
254 1 1 0.000000 17.557611 5.900548 1.970133 #  UNK
255 1 1 0.000000 22.844095 24.327242 10.172113 #  UNK
256 1 1 0.000000 5.439512 0.489631 12.011750 #  UNK
257 1 1 0.000000 16.726923 1.277413 22.113960 #  UNK
258 1 1 0.000000 20.499733 17.750271 4.487294 #  UNK
259 1 1 0.000000 6.311615 13.244255 10.035097 #  UNK
260 1 1 0.000000 7.207627 7.969639 16.682165 #  UNK
