Particle 184: Vec3(x=2.4437156476852846, y=2.1033262929997143, z=0.164715549708597) nm
Particle 185: Vec3(x=0.31547529936023444, y=1.708930332951559, z=2.0669500306230675) nm
Particle 186: Vec3(x=1.0173537636268235, y=2.4994866705864127, z=0.6322149395124071) nm
Particle 187: Vec3(x=0.40188093031174876, y=1.0101961591223148, z=1.8157060582535691) nm
Particle 188: Vec3(x=2.1653160484958742, y=0.5799522317279918, z=1.6169443846250606) nm
Particle 189: Vec3(x=1.9725576932155569, y=2.409865997614116, z=1.5269972715712288) nm
Particle 190: Vec3(x=1.3036369637879222, y=1.517595186404156, z=2.1239983918046876) nm
Particle 191: Vec3(x=0.9326614503737822, y=0.11215255989463987, z=0.8252909263514816) nm
Particle 192: Vec3(x=0.8764516524824049, y=2.434094926122413, z=2.0627820144844753) nm
Particle 193: Vec3(x=0.9231737278129928, y=0.8415743892490128, z=2.0907192567775468) nm
Particle 194: Vec3(x=0.11564903982130291, y=0.8997448418873487, z=0.19004451269459882) nm
Particle 195: Vec3(x=2.036805471777387, y=1.5884266381522834, z=2.2388883517744524) nm
Particle 196: Vec3(x=1.6830678605724685, y=2.0795452728381045, z=1.2009199153323593) nm
Particle 197: Vec3(x=1.6225752716575483, y=1.5930966672796827, z=1.2925755443375528) nm
Particle 198: Vec3(x=1.9263486914555745, y=1.8631152062117877, z=0.43237401087754096) nm
Particle 199: Vec3(x=2.4910317971728264, y=1.8571464230843224, z=1.1528283779835855) nm
Particle 200: Vec3(x=1.3590315711277414, y=1.9327730413966555, z=1.8610577489377036) nm
Particle 201: Vec3(x=1.0968979008335702, y=0.7084990916122917, z=0.2548542129164067) nm
Particle 202: Vec3(x=1.9710751008950604, y=1.6626055598163827, z=1.1289977812818717) nm
Particle 203: Vec3(x=1.8563465933619547, y=1.4288413017553936, z=0.19666998872071542) nm
Particle 204: Vec3(x=2.2315422838473613, y=1.753748755920489, z=0.15407121604702653) nm
Particle 205: Vec3(x=1.8029058080496891, y=1.7600800228144977, z=0.13105973343014815) nm
Particle 206: Vec3(x=0.347889953699213, y=1.811165685078677, z=0.15670621940356735) nm
Particle 207: Vec3(x=0.4395199144702901, y=2.201116019774682, z=1.2061015480549517) nm
Particle 208: Vec3(x=0.47785772640782875, y=1.421859290416097, z=2.535442938743154) nm
Particle 209: Vec3(x=2.124873218675837, y=1.4512131097041705, z=0.3475556871409721) nm
Particle 210: Vec3(x=2.0806417969929516, y=0.8058062815091372, z=2.116913012246951) nm
Particle 211: Vec3(x=1.467321140094623, y=2.421845608353956, z=2.1161030957843403) nm
Particle 212: Vec3(x=0.8571732621117003, y=1.4930935893687287, z=2.0582174547416576) nm
Particle 213: Vec3(x=1.2920454870148277, y=2.3542027431654517, z=0.13643662879566787) nm
Particle 214: Vec3(x=1.8581068023584535, y=0.8155107947538067, z=0.502253815600417) nm
Particle 215: Vec3(x=1.5625620979086126, y=0.9800568921160409, z=0.7802777701138844) nm
Particle 216: Vec3(x=1.4384390563661926, y=0.8359614886737962, z=2.3604076198237958) nm
Particle 217: Vec3(x=2.159645224686096, y=0.5798341527267425, z=0.5795631384840808) nm
Particle 218: Vec3(x=0.7562172207945469, y=2.019936449025556, z=1.296721068850381) nm
Particle 219: Vec3(x=0.1738701258225716, y=1.4697944931222373, z=0.7036789245462701) nm
Particle 220: Vec3(x=0.319307660121582, y=0.6940944585771128, z=0.36916343962457066) nm
Particle 221: Vec3(x=1.8699585655689617, y=0.7912198500736871, z=1.881111084255492) nm
Particle 222: Vec3(x=0.3547265566793722, y=1.4977368774238473, z=1.8111863719023162) nm
Particle 223: Vec3(x=1.7166271768742567, y=1.666398016775753, z=1.8355099186968478) nm
Particle 224: Vec3(x=1.8946462483505944, y=2.3758099460182707, z=1.8511344387648865) nm
Particle 225: Vec3(x=2.3205801481301958, y=2.145668643214714, z=1.4838914620083334) nm
Particle 226: Vec3(x=0.5090237444764296, y=2.4502781935706954, z=1.5959727548302296) nm
Particle 227: Vec3(x=1.9331710644052922, y=0.8034030799492683, z=1.380556265413022) nm
Particle 228: Vec3(x=0.848700572837096, y=0.6637386578520431, z=0.5309719937532036) nm
Particle 229: Vec3(x=1.4135542666977496, y=0.049852932328315176, z=0.5023383460985451) nm
Particle 230: Vec3(x=2.466533557226033, y=1.1466660845451941, z=2.2928819657018265) nm
Particle 231: Vec3(x=2.362100754605096, y=2.4728631524117923, z=0.622282081453146) nm
Particle 232: Vec3(x=0.7723874102588402, y=0.40510076886036617, z=0.671416408911514) nm
Particle 233: Vec3(x=1.9209048334169663, y=2.3532257095771225, z=0.2310963056209736) nm
Particle 234: Vec3(x=0.8652170931396058, y=2.0979657881738665, z=1.5661818499772349) nm
Particle 235: Vec3(x=0.1688035700774922, y=0.48126106577658767, z=2.3901493765112307) nm
Particle 236: Vec3(x=1.8522420033951337, y=1.664250469650274, z=0.3579815826452926) nm
Particle 237: Vec3(x=2.4527226847656802, y=0.2221292868944428, z=1.2724854083622947) nm
Particle 238: Vec3(x=2.002452821743499, y=2.479260817294366, z=0.6776463322115012) nm
Particle 239: Vec3(x=0.3520360602852182, y=2.446662074653996, z=0.6000312024738836) nm
Particle 240: Vec3(x=1.592179100541681, y=0.7679732079078351, z=0.1785599881862094) nm
Particle 241: Vec3(x=0.1384239714261971, y=1.7629473302251406, z=1.184838465442647) nm
Particle 242: Vec3(x=0.7477643650431138, y=2.4030067110372566, z=1.654141966949795) nm
Particle 243: Vec3(x=0.2209993639081996, y=2.1649700567171237, z=0.12968581267776697) nm
Particle 244: Vec3(x=0.4446070423122444, y=0.3870032474179877, z=1.5481262300605367) nm
Particle 245: Vec3(x=0.9597689386477969, y=1.1974296497266128, z=1.278592733169398) nm
Particle 246: Vec3(x=0.9591854711670134, y=0.20316103935863247, z=1.6238555747713128) nm
Particle 247: Vec3(x=1.5298839879643857, y=0.7181730812132604, z=1.9112917031853298) nm
Particle 248: Vec3(x=1.950730208804497, y=1.9786137684526905, z=2.428216619787242) nm
Particle 249: Vec3(x=1.0474396099297354, y=0.571629651824072, z=2.0072420374395796) nm
Particle 250: Vec3(x=0.4759045306905383, y=2.150654028440903, z=2.218875335697468) nm
