# Header information on force file

1_1
N 2000  R        0.005000       10.000000
  217      1.08500000    155.18010100   1418.78829500
  218      1.09000000    154.62777500   1413.73685400
  219      1.09500000    154.07545000   1408.68541300
  220      1.10000000    153.52312500   1403.63397200
  221      1.10500000    152.97080000   1398.58253100
  222      1.11000000    152.41847400   1393.53109000
  223      1.11500000    151.86614900   1388.47964900
  224      1.12000000    151.31382400   1383.42820800
  225      1.12500000    150.76149900   1378.37676700
  226      1.13000000    150.20917300   1373.32532600
  227      1.13500000    149.65684800   1368.27388500
  228      1.14000000    149.10452300   1363.22244400
  229      1.14500000    148.55219800   1358.17100300
  230      1.15000000    147.99987200   1353.11956200
  231      1.15500000    147.44754700   1348.06812100
  232      1.16000000    146.89522200   1343.01668000
  233      1.16500000    146.34289700   1337.96523900
  234      1.17000000    145.79057100   1332.91379800
  235      1.17500000    145.23824600   1327.86235700
  236      1.18000000    144.68592100   1322.81091600
  237      1.18500000    144.13359600   1317.75947500
  238      1.19000000    143.58127000   1312.70803400
  239      1.19500000    143.02894500   1307.65659300
  240      1.20000000    142.47662000   1302.60515200
  241      1.20500000    141.92429500   1297.55371100
  242      1.21000000    141.37196900   1292.50227000
  243      1.21500000    140.81964400   1287.45082900
  244      1.22000000    140.26731900   1282.39938800
  245      1.22500000    139.71499400   1277.34794700
  246      1.23000000    139.16266800   1272.29650600
  247      1.23500000    138.61034300   1267.24506500
  248      1.24000000    138.05801800   1262.19362400
  249      1.24500000    137.50569300   1257.14218300
  250      1.25000000    136.95336700   1252.09074200
  251      1.25500000    136.40104200   1247.03930100
  252      1.26000000    135.84871700   1241.98786000
  253      1.26500000    135.29639200   1236.93641900
  254      1.27000000    134.74406600   1231.88497800
  255      1.27500000    134.19174100   1226.83353700
  256      1.28000000    133.63941600   1221.78209600
  257      1.28500000    133.08709100   1216.73065500
  258      1.29000000    132.53476500   1211.67921400
  259      1.29500000    131.98244000   1206.62777300
  260      1.30000000    131.43011500   1201.57633200
  261      1.30500000    130.87779000   1196.52489100
  262      1.31000000    130.32546400   1191.47345000
  263      1.31500000    129.77313900   1186.42200900
  264      1.32000000    129.22081400   1181.37056800
  265      1.32500000    128.66848900   1176.31912700
  266      1.33000000    128.11616300   1171.26768600
  267      1.33500000    127.56383800   1166.21624500
  268      1.34000000    127.01151300   1161.16480400
  269      1.34500000    126.45918800   1156.11336300
  270      1.35000000    125.90686200   1151.06192200
  271      1.35500000    125.35453700   1146.01048100
  272      1.36000000    124.80221200   1140.95904000
  273      1.36500000    124.24988700   1135.90759900
  274      1.37000000    123.69756100   1130.85615800
  275      1.37500000    123.14523600   1125.80471700
  276      1.38000000    122.59291100   1120.75327600
  277      1.38500000    122.04058600   1115.70183500
  278      1.39000000    121.48826000   1110.65039400
  279      1.39500000    120.93593500   1105.59895300
  280      1.40000000    120.38361000   1100.54751200
  281      1.40500000    119.83128500   1095.49607100
  282      1.41000000    119.27895900   1090.44463000
  283      1.41500000    118.72663400   1085.39318900
  284      1.42000000    118.17430900   1080.34174800
  285      1.42500000    117.62198400   1075.29030700
  286      1.43000000    117.06965800   1070.23886600
  287      1.43500000    116.51733300   1065.18742500
  288      1.44000000    115.96500800   1060.13598400
  289      1.44500000    115.41268300   1055.08454300
  290      1.45000000    114.86035700   1050.03310200
  291      1.45500000    114.30803200   1044.98166100
  292      1.46000000    113.75570700   1039.93022000
  293      1.46500000    113.20338200   1034.87877900
  294      1.47000000    112.65105600   1029.82733800
  295      1.47500000    112.09873100   1024.77589700
  296      1.48000000    111.54640600   1019.72445600
  297      1.48500000    110.99408100   1014.67301500
  298      1.49000000    110.44175500   1009.62157400
  299      1.49500000    109.88943000   1004.57013300
  300      1.50000000    109.33710500    999.51869200
  301      1.50500000    108.78478000    994.46725100
  302      1.51000000    108.23245400    989.41581000
  303      1.51500000    107.68012900    984.36436900
  304      1.52000000    107.12780400    979.31292800
  305      1.52500000    106.57547900    974.26148700
  306      1.53000000    106.02315300    969.21004600
  307      1.53500000    105.47082800    964.15860500
  308      1.54000000    104.91850300    959.10716400
  309      1.54500000    104.36617800    954.05572300
  310      1.55000000    103.81385200    949.00428200
  311      1.55500000    103.26152700    943.95284100
  312      1.56000000    102.70920200    938.90140000
  313      1.56500000    102.15687700    933.84995900
  314      1.57000000    101.60455100    928.79851800
  315      1.57500000    101.05222600    923.74707700
  316      1.58000000    100.49990100    918.69563600
  317      1.58500000     99.94757600    913.64419500
  318      1.59000000     99.39525000    908.59275400
  319      1.59500000     98.84292500    903.54131300
  320      1.60000000     98.29060000    898.48987200
  321      1.60500000     97.73827500    893.43843100
  322      1.61000000     97.18594900    888.38699000
  323      1.61500000     96.63362400    883.33554900
  324      1.62000000     96.08129900    878.28410800
  325      1.62500000     95.52897400    873.23266700
  326      1.63000000     94.97664800    868.18122600
  327      1.63500000     94.42432300    863.12978500
  328      1.64000000     93.87199800    858.07834400
  329      1.64500000     93.31967300    853.02690300
  330      1.65000000     92.76734700    847.97546200
  331      1.65500000     92.21502200    842.92402100
  332      1.66000000     91.66269700    837.87258000
  333      1.66500000     91.11037200    832.82113900
  334      1.67000000     90.55804600    827.76969800
  335      1.67500000     90.00572100    822.71825700
  336      1.68000000     89.45339600    817.66681600
  337      1.68500000     88.90107100    812.61537500
  338      1.69000000     88.34874500    807.56393400
  339      1.69500000     87.79642000    802.51249300
  340      1.70000000     87.24409500    797.46105200
  341      1.70500000     86.69177000    792.40961100
  342      1.71000000     86.13944400    787.35817000
